datetime,EnergyConsumption,Temperature,Humidity,hour,day_of_week,month,day_of_year,week_of_year,is_weekend
2015-01-01 00:00:00,239.6847225,34.98,0.64,0,3,1,1,1,0
2015-01-01 01:00:00,239.6847225,16.49,0.62,1,3,1,1,1,0
2015-01-01 02:00:00,239.6847225,14.63,0.68,2,3,1,1,1,0
2015-01-01 03:00:00,241.99729822727272,13.31,0.71,3,3,1,1,1,0
2015-01-01 04:00:00,267.70849654958676,13.57,0.71,4,3,1,1,1,0
2015-01-01 05:00:00,321.6866991769346,12.42,0.75,5,3,1,1,1,0
2015-01-01 06:00:00,368.77027914476463,13.59,0.72,6,3,1,1,1,0
2015-01-01 07:00:00,408.2913395729892,16.31,0.67,7,3,1,1,1,0
2015-01-01 08:00:00,443.46170210517295,17.8,0.62,8,3,1,1,1,0
2015-01-01 09:00:00,469.40250381332334,17.7,0.6,9,3,1,1,1,0
2015-01-01 10:00:00,497.83113948362814,17.74,0.57,10,3,1,1,1,0
2015-01-01 11:00:00,507.4051242138775,18.0,0.56,11,3,1,1,1,0
2015-01-01 12:00:00,527.5215157204452,18.38,0.55,12,3,1,1,1,0
2015-01-01 13:00:00,541.229674498546,19.39,0.53,13,3,1,1,1,0
2015-01-01 14:00:00,552.4454407715376,23.0,0.46,14,3,1,1,1,0
2015-01-01 15:00:00,561.6219768130762,25.74,0.41,15,3,1,1,1,0
2015-01-01 16:00:00,718.0381831197897,27.85,0.38,16,3,1,1,1,0
2015-01-01 17:00:00,846.0150791889187,29.03,0.36,17,3,1,1,1,0
2015-01-01 18:00:00,798.0386507000244,30.04,0.35,18,3,1,1,1,0
2015-01-01 19:00:00,758.7852092091109,30.72,0.35,19,3,1,1,1,0
2015-01-01 20:00:00,719.337797443818,30.88,0.34,20,3,1,1,1,0
2015-01-01 21:00:00,687.0626423631238,30.4,0.35,21,3,1,1,1,0
2015-01-01 22:00:00,637.4019093880104,28.52,0.39,22,3,1,1,1,0
2015-01-01 23:00:00,578.4345925901903,27.24,0.42,23,3,1,1,1,0
2015-01-02 00:00:00,522.7060303010647,26.56,0.45,0,4,1,2,1,0
2015-01-02 01:00:00,467.38488342814384,26.22,0.48,1,4,1,2,1,0
2015-01-02 02:00:00,422.12212689575404,26.06,0.51,2,4,1,2,1,0
2015-01-02 03:00:00,388.47497255107146,28.38,0.48,3,4,1,2,1,0
2015-01-02 04:00:00,370.1558361781494,28.7,0.5,4,4,1,2,1,0
2015-01-02 05:00:00,356.0728558730313,29.49,0.5,5,4,1,2,1,0
2015-01-02 06:00:00,396.38864980520736,29.07,0.51,6,4,1,2,1,0
2015-01-02 07:00:00,437.66657211335144,27.43,0.55,7,4,1,2,1,0
2015-01-02 08:00:00,477.92083172910566,27.02,0.57,8,4,1,2,1,0
2015-01-02 09:00:00,531.9837107783592,26.97,0.58,9,4,1,2,1,0
2015-01-02 10:00:00,738.2176825459303,29.31,0.55,10,4,1,2,1,0
2015-01-02 11:00:00,908.4317908103067,30.23,0.54,11,4,1,2,1,0
2015-01-02 12:00:00,1046.5310106629781,30.68,0.53,12,4,1,2,1,0
2015-01-02 13:00:00,1159.5212814515276,31.24,0.53,13,4,1,2,1,0
2015-01-02 14:00:00,1050.9972100967043,33.04,0.5,14,4,1,2,1,0
2015-01-02 15:00:00,962.2047880791216,34.96,0.48,15,4,1,2,1,0
2015-01-02 16:00:00,906.7950791556449,35.41,0.51,16,4,1,2,1,0
2015-01-02 17:00:00,873.940519309164,36.15,0.48,17,4,1,2,1,0
2015-01-02 18:00:00,847.0595157984068,36.05,0.47,18,4,1,2,1,0
2015-01-02 19:00:00,820.6717250168782,35.9,0.48,19,4,1,2,1,0
2015-01-02 21:00:00,799.0817143774458,34.24,0.46,21,4,1,2,1,0
2015-01-02 22:00:00,839.1915036724556,31.63,0.51,22,4,1,2,1,0
2015-01-02 23:00:00,872.0086040047363,30.61,0.54,23,4,1,2,1,0
2015-01-03 00:00:00,829.4828477311478,29.62,0.56,0,5,1,3,1,1
2015-01-03 01:00:00,771.26530978003,29.37,0.55,1,5,1,3,1,1
2015-01-03 02:00:00,704.6469200927518,28.67,0.56,2,5,1,3,1,1
2015-01-03 03:00:00,650.0683891667968,28.57,0.54,3,5,1,3,1,1
2015-01-03 04:00:00,603.8725204091973,27.84,0.56,4,5,1,3,1,1
2015-01-03 05:00:00,566.0759005166159,26.55,0.57,5,5,1,3,1,1
2015-01-03 06:00:00,577.115029786322,25.31,0.6,6,5,1,3,1,1
2015-01-03 07:00:00,601.2113880069908,24.12,0.61,7,5,1,3,1,1
2015-01-03 08:00:00,625.9445700057197,22.98,0.64,8,5,1,3,1,1
2015-01-03 09:00:00,680.925860277407,20.66,0.7,9,5,1,3,1,1
2015-01-03 11:00:00,725.9105523178783,20.06,0.72,11,5,1,3,1,1
2015-01-03 12:00:00,702.6304014419005,20.06,0.73,12,5,1,3,1,1
2015-01-03 13:00:00,683.5830052706459,19.33,0.76,13,5,1,3,1,1
2015-01-03 14:00:00,705.8769538578011,22.95,0.67,14,5,1,3,1,1
2015-01-03 15:00:00,730.9751339745645,25.77,0.57,15,5,1,3,1,1
2015-01-03 16:00:00,756.3256651610072,27.52,0.49,16,5,1,3,1,1
2015-01-03 17:00:00,782.274332040824,28.82,0.47,17,5,1,3,1,1
2015-01-03 18:00:00,803.5050594879468,30.04,0.45,18,5,1,3,1,1
2015-01-03 19:00:00,801.1332810355929,29.85,0.49,19,5,1,3,1,1
2015-01-03 20:00:00,796.2697552109396,27.17,0.71,20,5,1,3,1,1
2015-01-03 21:00:00,778.9538400816779,25.79,0.81,21,5,1,3,1,1
2015-01-03 22:00:00,743.1754651577364,25.41,0.84,22,5,1,3,1,1
2015-01-03 23:00:00,713.4267442199662,25.47,0.86,23,5,1,3,1,1
2015-01-04 00:00:00,689.0868816345177,25.77,0.87,0,6,1,4,1,1
2015-01-04 01:00:00,637.1814890646053,25.96,0.87,1,6,1,4,1,1
2015-01-04 02:00:00,594.7134405983135,26.61,0.88,2,6,1,4,1,1
2015-01-04 03:00:00,560.9190776713474,27.89,0.89,3,6,1,4,1,1
2015-01-04 04:00:00,533.269144367466,28.89,0.9,4,6,1,4,1,1
2015-01-04 05:00:00,510.6464716642903,30.02,0.9,5,6,1,4,1,1
2015-01-04 06:00:00,516.0087798162375,30.88,0.9,6,6,1,4,1,1
2015-01-04 07:00:00,555.8166783951034,31.81,0.89,7,6,1,4,1,1
2015-01-04 08:00:00,608.707837868721,32.38,0.91,8,6,1,4,1,1
2015-01-04 09:00:00,636.5710592562261,33.06,0.91,9,6,1,4,1,1
2015-01-04 10:00:00,659.9619777550942,33.23,0.93,10,6,1,4,1,1
2015-01-04 11:00:00,678.5062646178042,32.92,0.94,11,6,1,4,1,1
2015-01-04 12:00:00,677.8997720509306,33.05,0.95,12,6,1,4,1,1
2015-01-04 13:00:00,677.4035508598522,33.05,0.94,13,6,1,4,1,1
2015-01-04 14:00:00,707.8843698853335,33.18,0.94,14,6,1,4,1,1
2015-01-04 15:00:00,754.7653935425456,33.72,0.94,15,6,1,4,1,1
2015-01-04 16:00:00,779.0024937166281,33.98,0.94,16,6,1,4,1,1
2015-01-04 17:00:00,812.9529494045139,34.4,0.95,17,6,1,4,1,1
2015-01-04 18:00:00,846.6745848764205,35.41,0.95,18,6,1,4,1,1
2015-01-04 19:00:00,886.9933977170713,36.19,0.95,19,6,1,4,1,1
2015-01-04 20:00:00,907.2531334957855,36.45,0.95,20,6,1,4,1,1
2015-01-04 21:00:00,909.1349880420063,36.93,0.95,21,6,1,4,1,1
2015-01-04 22:00:00,892.6868589434597,38.13,0.94,22,6,1,4,1,1
2015-01-04 23:00:00,879.2292987719215,38.06,0.95,23,6,1,4,1,1
2015-01-05 00:00:00,868.2185677224812,38.26,0.94,0,0,1,5,2,0
2015-01-05 01:00:00,841.0832725911209,38.56,0.94,1,0,1,5,2,0
2015-01-05 02:00:00,818.6518190290989,38.82,0.93,2,0,1,5,2,0
2015-01-05 03:00:00,794.1747205692626,41.3,0.87,3,0,1,5,2,0
2015-01-05 04:00:00,769.6398723748512,41.13,0.82,4,0,1,5,2,0
2015-01-05 05:00:00,749.5659056703327,41.29,0.8,5,0,1,5,2,0
2015-01-05 06:00:00,845.7884682757267,40.67,0.78,6,0,1,5,2,0
2015-01-05 07:00:00,924.5160194983218,40.18,0.7,7,0,1,5,2,0
2015-01-05 08:00:00,934.6951271349906,38.93,0.63,8,0,1,5,2,0
2015-01-05 09:00:00,873.5120232013559,38.35,0.62,9,0,1,5,2,0
2015-01-05 10:00:00,823.4531199829274,36.91,0.63,10,0,1,5,2,0
2015-01-05 11:00:00,782.495835531486,35.61,0.57,11,0,1,5,2,0
2015-01-05 12:00:00,765.7611381621249,33.65,0.56,12,0,1,5,2,0
2015-01-05 13:00:00,768.9115877690112,32.21,0.52,13,0,1,5,2,0
2015-01-05 14:00:00,771.4892283564636,31.23,0.48,14,0,1,5,2,0
2015-01-05 15:00:00,772.8455807461975,30.24,0.45,15,0,1,5,2,0
2015-01-05 16:00:00,773.9553236105252,30.11,0.43,16,0,1,5,2,0
2015-01-05 17:00:00,814.6808204086115,28.92,0.43,17,0,1,5,2,0
2015-01-05 18:00:00,854.778246970682,27.5,0.42,18,0,1,5,2,0
2015-01-05 19:00:00,892.9751818851033,26.36,0.42,19,0,1,5,2,0
2015-01-05 20:00:00,924.2272195423571,25.31,0.4,20,0,1,5,2,0
2015-01-05 21:00:00,914.3351998073831,22.86,0.44,21,0,1,5,2,0
2015-01-05 22:00:00,849.7979412060407,20.88,0.41,22,0,1,5,2,0
2015-01-05 23:00:00,781.1849317140333,19.16,0.43,23,0,1,5,2,0
2015-01-06 00:00:00,705.9841865842089,17.69,0.44,0,1,1,6,2,0
2015-01-06 01:00:00,639.8165566598074,16.57,0.45,1,1,1,6,2,0
2015-01-06 02:00:00,587.9986979034786,15.43,0.48,2,1,1,6,2,0
2015-01-06 03:00:00,545.602268011937,14.15,0.5,3,1,1,6,2,0
2015-01-06 04:00:00,510.9142799188575,13.66,0.5,4,1,1,6,2,0
2015-01-06 05:00:00,488.1689058427016,12.98,0.52,5,1,1,6,2,0
2015-01-06 06:00:00,507.6899634167558,12.45,0.55,6,1,1,6,2,0
2015-01-06 07:00:00,537.8221417955274,11.64,0.57,7,1,1,6,2,0
2015-01-06 08:00:00,603.8779645599769,11.07,0.6,8,1,1,6,2,0
2015-01-06 09:00:00,657.9236377308903,10.72,0.62,9,1,1,6,2,0
2015-01-06 10:00:00,675.1055015980011,10.84,0.64,10,1,1,6,2,0
2015-01-06 11:00:00,689.1633902165463,11.73,0.62,11,1,1,6,2,0
2015-01-06 12:00:00,716.0036829044469,12.06,0.61,12,1,1,6,2,0
2015-01-06 13:00:00,739.3208921036384,13.31,0.58,13,1,1,6,2,0
2015-01-06 14:00:00,765.7805279029767,14.27,0.54,14,1,1,6,2,0
2015-01-06 15:00:00,787.4293208297081,14.0,0.65,15,1,1,6,2,0
2015-01-06 16:00:00,800.9615655879429,14.01,0.73,16,1,1,6,2,0
2015-01-06 17:00:00,791.650523390135,14.78,0.75,17,1,1,6,2,0
2015-01-06 18:00:00,784.032397955565,15.52,0.72,18,1,1,6,2,0
2015-01-06 19:00:00,795.3777195090986,15.93,0.71,19,1,1,6,2,0
2015-01-06 20:00:00,832.7944977801715,16.0,0.71,20,1,1,6,2,0
2015-01-06 21:00:00,863.4082254565039,15.94,0.7,21,1,1,6,2,0
2015-01-06 22:00:00,858.059659191685,15.51,0.74,22,1,1,6,2,0
2015-01-06 23:00:00,840.2691150659241,14.57,0.81,23,1,1,6,2,0
2015-01-07 00:00:00,818.8060436903015,12.87,0.83,0,2,1,7,2,0
2015-01-07 01:00:00,783.1771671102467,9.98,0.84,1,2,1,7,2,0
2015-01-07 02:00:00,730.3399044538381,8.0,0.83,2,2,1,7,2,0
2015-01-07 03:00:00,687.1094168258675,7.89,0.83,3,2,1,7,2,0
2015-01-07 04:00:00,702.895532948437,5.98,0.82,4,2,1,7,2,0
2015-01-07 05:00:00,717.7730623214484,5.33,0.83,5,2,1,7,2,0
2015-01-07 06:00:00,744.5747277175487,5.02,0.83,6,2,1,7,2,0
2015-01-07 07:00:00,766.5033630416308,6.11,0.8,7,2,1,7,2,0
2015-01-07 08:00:00,765.1616403976979,8.42,0.81,8,2,1,7,2,0
2015-01-07 09:00:00,756.7393724162982,10.73,0.79,9,2,1,7,2,0
2015-01-07 10:00:00,734.465092613335,11.7,0.79,10,2,1,7,2,0
2015-01-07 11:00:00,672.2487121381831,11.61,0.78,11,2,1,7,2,0
2015-01-07 12:00:00,619.4048553857862,10.23,0.78,12,2,1,7,2,0
2015-01-07 13:00:00,564.1133160429159,10.82,0.79,13,2,1,7,2,0
2015-01-07 14:00:00,530.9304403987494,13.85,0.76,14,2,1,7,2,0
2015-01-07 15:00:00,518.4674815080676,17.69,0.66,15,2,1,7,2,0
2015-01-07 16:00:00,581.755565688419,19.49,0.55,16,2,1,7,2,0
2015-01-07 17:00:00,666.8711699268882,20.41,0.49,17,2,1,7,2,0
2015-01-07 18:00:00,736.5112097583631,20.32,0.52,18,2,1,7,2,0
2015-01-07 19:00:00,761.1402321659334,19.24,0.54,19,2,1,7,2,0
2015-01-07 20:00:00,759.541957590309,18.0,0.47,20,2,1,7,2,0
2015-01-07 21:00:00,750.9263996647983,16.28,0.41,21,2,1,7,2,0
2015-01-07 22:00:00,732.5770542711984,12.54,0.41,22,2,1,7,2,0
